name,number_votes,share_votes,district,affiliation
Tagyi Kristóf Tibor,319,0.58,Budapest XVIII.ker.,SEM
Alex Ágnes Kornélia,128,0.23,Budapest XVIII.ker.,SZOCIÁLDEMOKRATÁK
Balogh Istvánné,197,0.36,Budapest XVIII.ker.,EGYÜTT 2014
Mészáros Norbert,316,0.58,Budapest XVIII.ker.,SMS
Koltai Péterné,44,0.08,Budapest XVIII.ker.,ÚMP
Kucsák László,20648,37.60,Budapest XVIII.ker.,FIDESZ-KDNP
Beszeda Anna,45,0.08,Budapest XVIII.ker.,ÚDP
Kostya Bánk László,67,0.12,Budapest XVIII.ker.,SZDP
Makai Tibor,8493,15.46,Budapest XVIII.ker.,JOBBIK
Kecskés D. Gusztáv,155,0.28,Budapest XVIII.ker.,A VÁLASZ
Várhegyi Csaba,52,0.09,Budapest XVIII.ker.,MSZDP
May Miklós,36,0.07,Budapest IV.ker.,MKSZU
Pajor Tibor,6529,12.67,Budapest IV.ker.,JOBBIK
Schiller László,220,0.43,Budapest IV.ker.,SZOCIÁLDEMOKRATÁK
Kiss Péter,20956,40.67,Budapest IV.ker.,MSZP-EGYÜTT-DK-PM-MLP
Barna Mónika,256,0.50,Budapest IV.ker.,A HAZA NEM ELADÓ
Sedon Béla,378,0.73,Budapest IV.ker.,SEM
Horváth Péter Gábor,121,0.23,Budapest IV.ker.,JESZ
Dr. Hollósi Antal Gábor,18181,35.28,Budapest IV.ker.,FIDESZ-KDNP
Rákosi Judit,3935,7.64,Budapest IV.ker.,LMP
Dr. Horváth Ferenc,84,0.16,Budapest IV.ker.,MCP
Fehérvári Zsolt István,350,0.68,Budapest IV.ker.,MUNKÁSPÁRT
Fintorné Kassai Erika,309,0.60,Budapest IV.ker.,SMS
Kiss Erika,178,0.35,Budapest IV.ker.,ÖP
Dr. Salha Omár,252,0.49,Budapest XVI.ker.,4K!
Karácsony Gergely Szilveszter,19682,38.16,Budapest XVI.ker.,MSZP-EGYÜTT-DK-PM-MLP
Szatmáry Kristóf,21445,41.58,Budapest XVI.ker.,FIDESZ-KDNP
Hargitai István László,522,1.01,Budapest XVI.ker.,ÉLŐLÁNC
Tóth László,220,0.43,Budapest XVI.ker.,JESZ
Bognár Tibor Mihály,195,0.38,Budapest XVI.ker.,ÖP
Csizmazia Ferenc István,207,0.40,Budapest XVI.ker.,SZOCIÁLDEMOKRATÁK
Kredits Krisztina,5850,11.34,Budapest XVI.ker.,JOBBIK
Mizsei László,3201,6.21,Budapest XVI.ker.,LMP
Kiss László,19633,38.24,Budapest III.ker.,MSZP-EGYÜTT-DK-PM-MLP
Póznik György Csaba,309,0.60,Budapest III.ker.,SZOCIÁLDEMOKRATÁK
Száraz Dorottya,4593,8.95,Budapest III.ker.,LMP
Zsiga-Kárpát Dániel Gábor,6815,13.27,Budapest III.ker.,JOBBIK
Keszegné Menczer Erzsébet Livia,18394,35.82,Budapest III.ker.,FIDESZ-KDNP
Balasi Ágnes,443,0.86,Budapest III.ker.,EGYÜTT 2014
Fodor Judit,182,0.35,Budapest III.ker.,ÖP
Pásztor János Pál,149,0.29,Budapest III.ker.,JESZ
Kolozsváry István,243,0.47,Budapest III.ker.,A HAZA NEM ELADÓ
Dr. Brezovits László János,585,1.14,Budapest III.ker.,ZÖLDEK
Tóth Csaba János,21697,39.88,Budapest XIV.ker.,MSZP-EGYÜTT-DK-PM-MLP
Láng Márta,474,0.87,Budapest XIV.ker.,KTI
Dr. Hajdu József Péter,368,0.68,Budapest XIV.ker.,MUNKÁSPÁRT
Török Norbert Roland,201,0.37,Budapest XIV.ker.,JESZ
Horváth András,1006,1.85,Budapest XIV.ker.,ÉLŐLÁNC
Dr. Papcsák Ferenc,19772,36.34,Budapest XIV.ker.,FIDESZ-KDNP
Kovács Béla,5924,10.89,Budapest XIV.ker.,JOBBIK
Barta János,4961,9.12,Budapest XIV.ker.,LMP
Makai Ferenc Mihály,213,0.42,Budapest XV.ker.,KTI
László Tamás,18955,37.75,Budapest XV.ker.,FIDESZ-KDNP
Móricz Eszter,18678,37.19,Budapest XV.ker.,MSZP-EGYÜTT-DK-PM-MLP
Lakatosné László Beáta,366,0.73,Budapest XV.ker.,ZÖLDEK
Zala Miklós,332,0.66,Budapest XV.ker.,SMS
Dr. Oláh Lajos,168,0.33,Budapest XV.ker.,KISGAZDAPÁRT-MIÉP
Kelemen Éva,184,0.37,Budapest XV.ker.,JESZ
Domán Attila,278,0.55,Budapest XV.ker.,SZOCIÁLDEMOKRATÁK
Szilvágyi László,3306,6.58,Budapest XV.ker.,LMP
Vörös János,250,0.50,Budapest XV.ker.,A HAZA NEM ELADÓ
Dr. Gyenes Géza József,7488,14.91,Budapest XV.ker.,JOBBIK
Kállai Zsolt,32,0.06,Budapest X.ker.,ÚDP
Tubák István,6975,13.88,Budapest X.ker.,JOBBIK
Balogh István Lajos,33,0.07,Budapest X.ker.,MCP
Tóth Balázs,3356,6.68,Budapest X.ker.,LMP
Mata András,20,0.04,Budapest X.ker.,EU. ROM
Varga István Tibor,168,0.33,Budapest X.ker.,JESZ
Göncző Zoltán János,286,0.57,Budapest X.ker.,EGYÜTT 2014
Dr. György István,18851,37.51,Budapest X.ker.,FIDESZ-KDNP
Kara Sándor,100,0.20,Budapest X.ker.,FKGP
Mészárosné Rostás Katalin Márta,349,0.69,Budapest X.ker.,SMS
Vass Zsigmond László,138,0.27,Budapest X.ker.,EP
Kerezsi László,389,0.77,Budapest X.ker.,MUNKÁSPÁRT
Burány Sándor,19501,38.81,Budapest X.ker.,MSZP-EGYÜTT-DK-PM-MLP
Kovács Julianna,26,0.05,Budapest X.ker.,MCF
Jónás Lajos,26,0.05,Budapest X.ker.,ÚMP
Pál Tibor Gyula,15437,36.96,Budapest VIII.ker.,MSZP-EGYÜTT-DK-PM-MLP
Cseh Rita,43,0.10,Budapest VIII.ker.,ÚDP
Dr. Suda Dezső József,187,0.45,Budapest VIII.ker.,SZOCIÁLDEMOKRATÁK
Dúró Dóra,5560,13.31,Budapest VIII.ker.,JOBBIK
Szilassy Gábor Cézár,113,0.27,Budapest VIII.ker.,JESZ
Jakabfy Tamás,3474,8.32,Budapest VIII.ker.,LMP
Makai Istvánné,122,0.29,Budapest VIII.ker.,KTI
Hollós Péter Lóránt,293,0.70,Budapest VIII.ker.,ZÖLDEK
Horváth Aladár,212,0.51,Budapest VIII.ker.,MCP
Torma Zsolt,29,0.07,Budapest VIII.ker.,ÚMP
Csorba Lajos,323,0.77,Budapest VIII.ker.,Független
Dr. Vas Imre,15977,38.25,Budapest VIII.ker.,FIDESZ-KDNP
Suhajdáné Toldi Zsanett Dea,432,0.80,Budapest II.ker.,ÖP
Varga Mihály,24928,45.90,Budapest II.ker.,FIDESZ-KDNP
Szelényi Zsuzsanna,20750,38.21,Budapest II.ker.,MSZP-EGYÜTT-DK-PM-MLP
Bodor Zoltán,3583,6.60,Budapest II.ker.,JOBBIK
Dárdai Zsuzsanna Terézia,4618,8.50,Budapest II.ker.,LMP
Mile Melinda,479,0.91,Budapest XII.ker.,SEM
Dr. Németh Julianna Erzsébet,139,0.26,Budapest XII.ker.,FKGP
Bartha Attila,269,0.51,Budapest XII.ker.,4K!
Hajdu Mária,5321,10.11,Budapest XII.ker.,LMP
Szávay István,3220,6.12,Budapest XII.ker.,JOBBIK
Szuna Ferenc,157,0.30,Budapest XII.ker.,KTI
Dr. Fónagy János Vilmos,24610,46.78,Budapest XII.ker.,FIDESZ-KDNP
Bauer Tamás,18414,35.00,Budapest XII.ker.,MSZP-EGYÜTT-DK-PM-MLP
Szöllősi Istvánné,321,0.68,Budapest V.ker.,SZOCIÁLDEMOKRATÁK
Schiffer András,6482,13.65,Budapest V.ker.,LMP
Rogán Antal,21503,45.29,Budapest V.ker.,FIDESZ-KDNP
Hegedűs Lóránt Gézáné,3713,7.82,Budapest V.ker.,JOBBIK
Kerék-Bárczy Szabolcs,15459,32.56,Budapest V.ker.,MSZP-EGYÜTT-DK-PM-MLP
Novák Előd Attila,4291,8.02,Budapest XI.ker.,JOBBIK
Dr. Simicskó István,23963,44.78,Budapest XI.ker.,FIDESZ-KDNP
Nagy Péter,207,0.39,Budapest XI.ker.,JESZ
Csárdi Antal,4615,8.62,Budapest XI.ker.,LMP
Dr. Józsa István,19643,36.71,Budapest XI.ker.,MSZP-EGYÜTT-DK-PM-MLP
Benyovszky Gábor,262,0.49,Budapest XI.ker.,MUNKÁSPÁRT
Petre-Varga Fruzsina Zsuzsanna,534,1.00,Budapest XI.ker.,SEM
Szekeres Péterné,331,0.62,Budapest XIII.ker.,SMS
Hiszékeny Dezső,27514,51.25,Budapest XIII.ker.,MSZP-EGYÜTT-DK-PM-MLP
Jakab Gabriella,386,0.72,Budapest XIII.ker.,SEM
Székely Mihály,110,0.20,Budapest XIII.ker.,JESZ
Kern Tamás,128,0.24,Budapest XIII.ker.,SZOCIÁLDEMOKRATÁK
Benke László,4640,8.64,Budapest XIII.ker.,JOBBIK
Iváncsevits Gyula,45,0.08,Budapest XIII.ker.,MSZDP
Dr. Szalay Péter,16453,30.65,Budapest XIII.ker.,FIDESZ-KDNP
Tóth Attila Pál,62,0.12,Budapest XIII.ker.,EP
Póka Leila,129,0.24,Budapest XIII.ker.,ÖP
Moldován László,3821,7.12,Budapest XIII.ker.,LMP
Csík Tamás,67,0.12,Budapest XIII.ker.,MCP
Váradi Gábor,227,0.54,Nyírbátor,Független
Dr. Kiss Sándor,11852,28.16,Nyírbátor,JOBBIK
Nagy László Csaba,58,0.14,Nyírbátor,ÖP
Orgován Zoltán,266,0.63,Nyírbátor,MCP
Dani Zoltán,11,0.03,Nyírbátor,SZMP
Dr. Nagy Zsombor,108,0.26,Nyírbátor,JESZ
Fekete Edit Klára,51,0.12,Nyírbátor,KISGAZDAPÁRT-MIÉP
Kurucz Györgyné,147,0.35,Nyírbátor,A HAZA NEM ELADÓ
Tanács István,51,0.12,Nyírbátor,SEM
Varga Krisztián,94,0.22,Nyírbátor,SZOCIÁLDEMOKRATÁK
Dr. Simon Miklós,19768,46.97,Nyírbátor,FIDESZ-KDNP
Dr. Helmeczy László József,8298,19.72,Nyírbátor,MSZP-EGYÜTT-DK-PM-MLP
Tamás Sándor,125,0.30,Nyírbátor,FKGP
Horváth Jenőné,41,0.10,Nyírbátor,MGP
Máté György Ákos,587,1.39,Nyírbátor,LMP
Szécsi Miklós,51,0.12,Nyírbátor,EU. ROM
Bodó Istvánné,85,0.20,Nyírbátor,ZÖLDEK
Jakab József,51,0.12,Nyírbátor,TBP
Avakov Nyikolaj Viktorovics,19,0.05,Nyírbátor,KTI
Harsányi Simon,195,0.46,Nyírbátor,SMS
Dr. Tilki Attila,23113,52.94,Vásárosnamény,FIDESZ-KDNP
Halász Csaba,122,0.28,Vásárosnamény,FKGP
Varga Ferenc,24,0.05,Vásárosnamény,NEMZETI ÉRDEKÉRT
Katona Gina,154,0.35,Vásárosnamény,KTI
Adorján Béla,11516,26.38,Vásárosnamény,JOBBIK
Nyerges József,28,0.06,Vásárosnamény,EP
Kárpáti Zoltán,123,0.28,Vásárosnamény,JESZ
Demeter István,167,0.38,Vásárosnamény,MCP
Tóth Gábor,101,0.23,Vásárosnamény,ZÖLDEK
Simó József,67,0.15,Vásárosnamény,EGYÜTT 2014
Boros Attila,105,0.24,Vásárosnamény,A HAZA NEM ELADÓ
Sipos László,226,0.52,Vásárosnamény,SZOCIÁLDEMOKRATÁK
Jenei Ferenc,39,0.09,Vásárosnamény,KISGAZDAPÁRT-MIÉP
Dr. Baka István,6930,15.87,Vásárosnamény,MSZP-EGYÜTT-DK-PM-MLP
Kovács Krisztián,35,0.08,Vásárosnamény,ÖP
Bartha Olivér,449,1.03,Vásárosnamény,LMP
Gál Noémi,155,0.35,Vásárosnamény,SMS
Lakatos Miklós,45,0.10,Vásárosnamény,Független
Nagy István Béla,263,0.60,Vásárosnamény,MUNKÁSPÁRT
Dr. Seszták Miklós István,22257,48.64,Kisvárda,FIDESZ-KDNP
Tóth Péter Pál,324,0.71,Kisvárda,MUNKÁSPÁRT
Kiss László,127,0.28,Kisvárda,SZOCIÁLDEMOKRATÁK
Kulcsár Mária,113,0.25,Kisvárda,KISGAZDAPÁRT-MIÉP
Dr. Balogh Emese Ilona,785,1.72,Kisvárda,LMP
Földi István,12276,26.83,Kisvárda,JOBBIK
Varga Zoltán,262,0.57,Kisvárda,MCP
Imre István,138,0.30,Kisvárda,SMS
Farkas Bertalan,287,0.63,Kisvárda,ZÖLDEK
Dr. Legény Zsolt,8707,19.03,Kisvárda,MSZP-EGYÜTT-DK-PM-MLP
Gyüre Lajos,179,0.39,Kisvárda,JESZ
Jarkas Richárd Mátyás,41,0.09,Kisvárda,SEM
Fodor Dezső,49,0.11,Kisvárda,ÖP
Szilcz Ildikó,212,0.46,Kisvárda,A HAZA NEM ELADÓ
Dr. Oláh Lajos,17256,38.68,Budapest VII.ker.,MSZP-EGYÜTT-DK-PM-MLP
Stummer János,4661,10.45,Budapest VII.ker.,JOBBIK
Rónaszékiné Keresztes Monika Mária,16983,38.06,Budapest VII.ker.,FIDESZ-KDNP
Csiba Katalin Gyöngyvér,5348,11.99,Budapest VII.ker.,LMP
Varga Tibor László,369,0.83,Budapest VII.ker.,JESZ
Nyíri Sándor,145,0.34,Nyíregyháza,JESZ
Tolnai Tibor,211,0.50,Nyíregyháza,A HAZA NEM ELADÓ
Nagy János Csaba,79,0.19,Nyíregyháza,Független
Kovácsné Váradi Melinda,50,0.12,Nyíregyháza,EU. ROM
Dr. Gyüre Csaba,11755,27.64,Nyíregyháza,JOBBIK
Bagdi Sándor Gábor,110,0.26,Nyíregyháza,ÖP
Koji Attiláné,60,0.14,Nyíregyháza,SZOCIÁLDEMOKRATÁK
Sipos Éva Katalin,178,0.42,Nyíregyháza,ZÖLDEK
Tóth Miklós,957,2.25,Nyíregyháza,LMP
Lakatos Lászlóné,79,0.19,Nyíregyháza,KTI
Nagy Tibor Barnabás,558,1.31,Nyíregyháza,KISGAZDAPÁRT-MIÉP
Huczman Miklósné,239,0.56,Nyíregyháza,SMS
Nagy Attila,24,0.06,Nyíregyháza,TBP
Faragó László,279,0.66,Nyíregyháza,Független
Juhász Ferenc,9485,22.30,Nyíregyháza,MSZP-EGYÜTT-DK-PM-MLP
Dr. Vinnai Győző,18322,43.08,Nyíregyháza,FIDESZ-KDNP
Gáldi Ádám György,95,0.22,Mátészalka,JESZ
Szőcsi Richárd,26,0.06,Mátészalka,EU. ROM
Halmi József,7799,18.22,Mátészalka,MSZP-EGYÜTT-DK-PM-MLP
Gellért Sándor,28,0.07,Mátészalka,ÖP
Pásku Károly,194,0.45,Mátészalka,MUNKÁSPÁRT
Balogh Pál,62,0.14,Mátészalka,KISGAZDAPÁRT-MIÉP
Kovács Sándor,21721,50.75,Mátészalka,FIDESZ-KDNP
Tempfli József,494,1.15,Mátészalka,LMP
Juhász Jácint Gyula,20,0.05,Mátészalka,MRPP
Varga Gábor,47,0.11,Mátészalka,FKGP
Tóthné Kun Andrea Éva,175,0.41,Mátészalka,SMS
Kissné Kovács Zsuzsanna,40,0.09,Mátészalka,SEM
Guthy Máté,50,0.12,Mátészalka,SZOCIÁLDEMOKRATÁK
Sasvári Erzsébet,65,0.15,Mátészalka,ZÖLDEK
Dr. Apáti István,11632,27.18,Mátészalka,JOBBIK
Horváth Antal,231,0.54,Mátészalka,MCP
Szász József,118,0.28,Mátészalka,A HAZA NEM ELADÓ
Makula Gábriel,14,0.03,Nyíregyháza,ÚDP
Makula Andrásné,8,0.02,Nyíregyháza,ÚMP
Jeszenszki András,15781,32.29,Nyíregyháza,MSZP-EGYÜTT-DK-PM-MLP
Hornyák Péter Rajmund,64,0.13,Nyíregyháza,KALÓZPÁRT
Matavovszky Dániel,157,0.32,Nyíregyháza,SEM
Varga Áronné,168,0.34,Nyíregyháza,ZÖLDEK
Szabolcsi Beáta,1881,3.85,Nyíregyháza,LMP
Kádár János,73,0.15,Nyíregyháza,KISGAZDAPÁRT-MIÉP
Tamás László Ferenc,58,0.12,Nyíregyháza,KTI
Szoboszlay György Csaba,600,1.23,Nyíregyháza,SMS
Teremi László Sándorné,110,0.23,Nyíregyháza,EGYÜTT 2014
Chrabák Sándor,397,0.81,Nyíregyháza,A HAZA NEM ELADÓ
Nagy Róbert István,124,0.25,Nyíregyháza,Független
Balczó Zoltán György,11138,22.79,Nyíregyháza,JOBBIK
Duka Dezső,198,0.41,Nyíregyháza,MCP
Dr. Terebesiné Kovács Éva,115,0.24,Nyíregyháza,SZOCIÁLDEMOKRATÁK
Farkas Roland Norbert,37,0.08,Nyíregyháza,NEMZETI ÉRDEKÉRT
Petneházy Szabolcs Attila,17484,35.78,Nyíregyháza,FIDESZ-KDNP
Fábián Csaba János,36,0.07,Nyíregyháza,EP
Gulácsiné Dr. Dobos Emőke,77,0.16,Nyíregyháza,FKGP
Szepessy Zsolt László,225,0.46,Nyíregyháza,ÖP
Dakó Attila,127,0.26,Nyíregyháza,JESZ
Zsömlye György,59,0.11,Zalaegerszeg,MGP
Major Gábor,12381,24.08,Zalaegerszeg,MSZP-EGYÜTT-DK-PM-MLP
Salamon László,42,0.08,Zalaegerszeg,ÚDP
Domokos Ádám,46,0.09,Zalaegerszeg,ÚMP
Jambrik Gézáné,31,0.06,Zalaegerszeg,MDU
Pete Róbert,10957,21.31,Zalaegerszeg,JOBBIK
Király Ildikó,35,0.07,Zalaegerszeg,HATMAP
Jambrik Márton,29,0.06,Zalaegerszeg,"REND, SZABADSÁG"
Kiss Ferenc,1382,2.69,Zalaegerszeg,Független
Németh Brendon Zsolt,79,0.15,Zalaegerszeg,MCP
Hegedüs Erzsébet,133,0.26,Zalaegerszeg,SZOCIÁLDEMOKRATÁK
Tibolya Krisztina,54,0.11,Zalaegerszeg,MSZDP
Dr. Paksy Zoltán,2196,4.27,Zalaegerszeg,LMP
Kulcsárné Kozma Erzsébet,25,0.05,Zalaegerszeg,SZAVA
Tóth István Jánosné,636,1.24,Zalaegerszeg,SMS
Dr. Bor Tibor,235,0.46,Zalaegerszeg,FKGP
Cseke József,117,0.23,Zalaegerszeg,SZMP
Vigh László,22816,44.38,Zalaegerszeg,FIDESZ-KDNP
Czirók Erika Aranka,163,0.32,Zalaegerszeg,EP
Berkenyés István,302,0.67,Keszthely,FKGP
Szarvas István,173,0.38,Keszthely,SMS
Nagy Richárd,36,0.08,Keszthely,ÚDP
Németh Áron Csaba,1792,3.95,Keszthely,LMP
Fenyvesi Tibor,133,0.29,Keszthely,MCP
Szermek Zsolt Ottó,8943,19.72,Keszthely,MSZP-EGYÜTT-DK-PM-MLP
Selmeczy Zsuzsanna,10985,24.22,Keszthely,JOBBIK
Manninger Jenő Vilmos,22351,49.28,Keszthely,FIDESZ-KDNP
Kottán Krisztián,96,0.21,Keszthely,ÚMP
Balázs Árpád Mátyás,378,0.83,Keszthely,A HAZA NEM ELADÓ
Raffai Eszter Evelin,35,0.08,Keszthely,MRPP
Sütő János Zoltán,132,0.29,Keszthely,JESZ
Nagy Attila,12131,27.32,Szigetvár,MSZP-EGYÜTT-DK-PM-MLP
Tari József,134,0.30,Szigetvár,KTI
Rémes Árpád Csaba,63,0.14,Szigetvár,MGP
Angyal Károly Tibor,1439,3.24,Szigetvár,LMP
Tomkó Miklós László,73,0.16,Szigetvár,TEMPO
Vadász Beáta,173,0.39,Szigetvár,JESZ
Dénes Árpád,7,0.02,Szigetvár,ÚDP
Császár Norbert,359,0.81,Szigetvár,A HAZA NEM ELADÓ
Pöttendi János,117,0.26,Szigetvár,EURÓPAI BALOLDAL
Tiffán Zsolt,19563,44.06,Szigetvár,FIDESZ-KDNP
Rippert Zoltán,40,0.09,Szigetvár,SZMP
Palásti János,139,0.31,Szigetvár,Független
Fonád Gyula Sándor,10,0.02,Szigetvár,ÚMP
Balogh Zoltán Kálmán,117,0.26,Szigetvár,SZOCIÁLDEMOKRATÁK
Fazakas András,113,0.25,Szigetvár,SEM
Papp Csaba,51,0.11,Szigetvár,HATMAP
Zsolnai Péterné,49,0.11,Szigetvár,KMSZ
Mitrovics Olivér,45,0.10,Szigetvár,MRPP
Kulcsár Jánosné,58,0.13,Szigetvár,ÖP
Sós Miklósné,71,0.16,Szigetvár,EGYIKSEM
Dörömböző Gyula,170,0.38,Szigetvár,MCP
Vida Dezső Zoltán,9081,20.45,Szigetvár,JOBBIK
Szabó Tünde Andrea,25,0.06,Szigetvár,MDU
Orsós Zoltán,39,0.09,Szigetvár,EU. ROM
Barla-Szabó Zsolt Tamás,220,0.50,Szigetvár,FKGP
Mályi Lászlóné,114,0.26,Szigetvár,SMS
Bertanicz Vilmos Györgyné,484,1.12,Mohács,Független
Kecskemétiné Gomán Emma Rozália,76,0.18,Mohács,KMSZ
László Judit,41,0.10,Mohács,ÚMP
Kovács István,37,0.09,Mohács,ÚDP
Loschán Ferenc,8983,20.88,Mohács,MSZP-EGYÜTT-DK-PM-MLP
Móricz Károly Antalné,113,0.26,Mohács,SZOCIÁLDEMOKRATÁK
Szőcs Norbert,8137,18.91,Mohács,JOBBIK
Mihálovics Ibolya,135,0.31,Mohács,MCP
Bíró Zsolt,247,0.57,Mohács,KTI
Hartweg Ildikó Anna,1890,4.39,Mohács,LMP
Széles Orsolya,190,0.44,Mohács,SEM
Schwarczkopf Róbert,145,0.34,Mohács,SMS
Horváth József,332,0.77,Mohács,MUNKÁSPÁRT
Dittrich Ferenc,84,0.20,Mohács,JESZ
Dr. Hargitai János György,21625,50.26,Mohács,FIDESZ-KDNP
Simonné Szép Ildikó,30,0.07,Mohács,EU. ROM
Zelei Pálné,30,0.07,Mohács,TEMPO
Szenes Zsolt,368,0.86,Mohács,A HAZA NEM ELADÓ
Takács Róbert,76,0.18,Mohács,ÖP
Gyimesi Gábor Jenő,9931,20.68,Pécs,JOBBIK
Kiss Zoltán,38,0.08,Pécs,MACSEP
Dr. Hoppál Péter Tamás,17413,36.27,Pécs,FIDESZ-KDNP
Radányi Norbert,259,0.54,Pécs,SEM
Parádainé Jászfi Viktória,26,0.05,Pécs,ÚDP
Kittl János István,285,0.59,Pécs,KTI
Petrecz Veronika,35,0.07,Pécs,ÚMP
Dr. Szakács László,15334,31.94,Pécs,MSZP-EGYÜTT-DK-PM-MLP
Héjjas Illés Gábor,136,0.28,Pécs,JESZ
Donáczi György János,132,0.27,Pécs,FKGP
Dr. Keresztes László Lóránt,3650,7.60,Pécs,LMP
Gavri Edit,216,0.45,Pécs,SZOCIÁLDEMOKRATÁK
György Zoltán Imre,459,0.96,Pécs,A HAZA NEM ELADÓ
Sáfár Ferenc,101,0.21,Pécs,ÖP
Szaksz Tamás,306,0.60,Pécs,SEM
Szentes Richárd,125,0.25,Pécs,Független
Sárközi Lajos,43,0.08,Pécs,Független
Eckert Péter,48,0.09,Pécs,SZAVA
Török Edina,505,1.00,Pécs,A HAZA NEM ELADÓ
Erdélyi Sándor Mihály,238,0.47,Pécs,SMS
Dr. Kóbor József,4489,8.85,Pécs,LMP
Juhász István,233,0.46,Pécs,SZOCIÁLDEMOKRATÁK
Tóth József,179,0.35,Pécs,JESZ
Németh Zsolt,8379,16.53,Pécs,JOBBIK
Csiszárné Nagy Erzsébet,70,0.14,Pécs,TEMPO
Csizi Péter,18855,37.19,Pécs,FIDESZ-KDNP
Gyócsi Győző Roland,74,0.15,Pécs,Független
Dr. Tóth Bertalan,16706,32.95,Pécs,MSZP-EGYÜTT-DK-PM-MLP
Ördög Margit Rozália,124,0.24,Pécs,FKGP
Barna László István,329,0.65,Pécs,KTI
Dr. Horváth József,11769,27.34,Tapolca,MSZP-EGYÜTT-DK-PM-MLP
Stumpf Mariann,181,0.42,Tapolca,SEM
Szabó Ferenc,234,0.54,Tapolca,A HAZA NEM ELADÓ
Bogdán Levente,44,0.10,Tapolca,MCP
Kottán Georgina,38,0.09,Tapolca,ÚMP
Barbalics Antal,232,0.54,Tapolca,KTI
Tóth Tibor,147,0.34,Tapolca,SZOCIÁLDEMOKRATÁK
Lázár Péter László,80,0.19,Tapolca,ÉLŐLÁNC
Kónya Krisztián Zsolt,96,0.22,Tapolca,JESZ
Dobó Zoltán,10110,23.49,Tapolca,JOBBIK
Kócs Felicián Gábor,34,0.08,Tapolca,ÚDP
Lasztovicza Jenő,18570,43.14,Tapolca,FIDESZ-KDNP
Németh Ferenc,47,0.11,Tapolca,MGP
Bándliné Keserü Judit,65,0.15,Tapolca,ÖP
Guzslován Gábor,1276,2.96,Tapolca,LMP
Horváth Ferenc,32,0.07,Tapolca,EU. ROM
Széll Tamás,87,0.20,Tapolca,ÚGP
Ferenczi Gábor,10030,22.98,Pápa,JOBBIK
Király Jenny,28,0.06,Pápa,ÚDP
Hernádi Tamás,164,0.38,Pápa,JESZ
Királyné Ferencz Ildikó,53,0.12,Pápa,ÚMP
Horváth Sándor,62,0.14,Pápa,MCP
Pászli Ferenc,176,0.40,Pápa,ZÖLDEK
Nyőgér István,1274,2.92,Pápa,LMP
Gőgös Zoltán,9485,21.73,Pápa,MSZP-EGYÜTT-DK-PM-MLP
Dr. Kovács Zoltán,22246,50.98,Pápa,FIDESZ-KDNP
Mészáros Szabolcs,123,0.28,Pápa,EP
Kránitz László,7005,16.69,Csorna,MSZP-EGYÜTT-DK-PM-MLP
Szakács Gyula,1268,3.02,Csorna,LMP
Sándli Zsolt,108,0.26,Csorna,JESZ
Gyopáros Alpár Ádám,24707,58.85,Csorna,FIDESZ-KDNP
Papp Péter,58,0.14,Csorna,ÚDP
Kovács Krisztián,153,0.36,Csorna,EGYÜTT 2014
Mersich Dániel,40,0.10,Csorna,ÚMP
Fodor Zoltánné,166,0.40,Csorna,KISGAZDAPÁRT-MIÉP
Magyar Zoltán,8478,20.19,Csorna,JOBBIK
Takács Krisztián,7714,17.33,Győr,JOBBIK
Tánczos Ádám Péter,59,0.13,Győr,ÚMP
Kara Ákos,24593,55.25,Győr,FIDESZ-KDNP
Takács András,179,0.40,Győr,SZOCIÁLDEMOKRATÁK
Glázer Tímea,9278,20.84,Győr,MSZP-EGYÜTT-DK-PM-MLP
Jenei Ferenc,2089,4.69,Győr,LMP
Szenftner László,314,0.71,Győr,SMS
Jámbor Zoltán,288,0.65,Győr,JESZ
Báthori István,383,0.84,Balatonfüred,SEM
Scheiring Gábor,12428,27.19,Balatonfüred,MSZP-EGYÜTT-DK-PM-MLP
Fülöp Richárd,196,0.43,Balatonfüred,JESZ
Varga Péter Roland,50,0.11,Balatonfüred,ÚMP
Puli Diána Klaudia,300,0.66,Balatonfüred,A HAZA NEM ELADÓ
Kincses Mária Rózsa,46,0.10,Balatonfüred,MDU
Tar Krisztián,35,0.08,Balatonfüred,ÚDP
Dr. Sinkáné Vati Júlia,148,0.32,Balatonfüred,ÖP
Török Mónika,154,0.34,Balatonfüred,SZOCIÁLDEMOKRATÁK
Strasszer Ferencné,12,0.03,Balatonfüred,"REND, SZABADSÁG"
Orsós László Vendel,50,0.11,Balatonfüred,MCP
Turcsán József,73,0.16,Balatonfüred,MKSZU
Csonnó György Ferenc,20,0.04,Balatonfüred,EU. ROM
Cséby Géza Attila,2246,4.91,Balatonfüred,LMP
Kepli Lajos,8716,19.07,Balatonfüred,JOBBIK
Dr. Kontrát Károly,20854,45.62,Balatonfüred,FIDESZ-KDNP
Kozmor Imre Ferenc,25,0.05,Veszprém,ÚMP
Pál Béla,13009,27.64,Veszprém,MSZP-EGYÜTT-DK-PM-MLP
Kerpács István,51,0.11,Veszprém,MCP
Vajda Krisztián,50,0.11,Veszprém,ÚDP
Gerstmár Ferenc,2904,6.17,Veszprém,LMP
Kovács Béla,304,0.65,Veszprém,SEM
Horváth Márton Imre,332,0.71,Veszprém,JESZ
